code;id;name;mainRoute;routeIds
551669;MTA_551669;QUEENS BL/ 83 AV;MTABC_Q60;['MTABC_Q60', 'MTABC_QM21']
551671;MTA_551671;QUEENS BL/MAIN ST;MTABC_Q60;['MTABC_Q60', 'MTABC_QM21', 'MTA NYCT_X68']
551676;MTA_551676;QUEENS BL/HILLSIDE AV;MTABC_Q60;['MTABC_Q60']
551678;MTA_551678;QUEENS BL/JAMAICA AV;MTABC_Q60;['MTABC_Q60']
551679;MTA_551679;QUEENS BL/JAMAICA AV;MTABC_Q60;['MTABC_Q60']
551684;MTA_551684;108 AV/SUTPHIN BL;MTABC_Q60;['MTABC_Q60']
551686;MTA_551686;108 AV/157 ST;MTABC_Q60;['MTABC_Q60']
551687;MTA_551687;157 ST/109 AV;MTABC_Q60;['MTABC_Q60']
551688;MTA_551688;109 AV/157 ST;MTABC_Q60;['MTABC_Q60']
551691;MTA_551691;QUEENS BL/HOOVER AV;MTABC_Q60;['MTABC_Q60', 'MTABC_QM18', 'MTABC_QM21', 'MTA NYCT_X63', 'MTA NYCT_X64', 'MTA NYCT_X68']
551692;MTA_551692;QUEENS BL/76 RD;MTABC_Q60;['MTABC_Q60']
551693;MTA_551693;QUEENS BL/72 DR;MTABC_Q60;['MTABC_Q60', 'MTABC_QM11']
551694;MTA_551694;QUEENS BL/108 ST;MTABC_Q60;['MTABC_Q60', 'MTABC_QM18']
551695;MTA_551695;QUEENS BL/70 AV;MTABC_Q60;['MTABC_Q60', 'MTABC_QM11', 'MTABC_QM18']
551699;MTA_551699;QUEENS BL/67 RD;MTABC_Q60;['MTABC_Q60']
551700;MTA_551700;QUEENS BL/65 AV;MTABC_Q60;['MTABC_Q60']
551702;MTA_551702;QUEENS BL/VAN LOON ST;MTABC_Q60;['MTABC_Q60']
551703;MTA_551703;QUEENS BL/CORNISH AV;MTABC_Q60;['MTABC_Q60']
551705;MTA_551705;QUEENS BL/74 ST;MTABC_Q60;['MTABC_Q60']
551706;MTA_551706;QUEENS BL/55 ST;MTABC_Q60;['MTABC_Q60']
553037;MTA_553037;QUEENS BL/IRELAND ST;MTABC_Q60;['MTABC_Q60']
553305;MTA_553305;QUEENS BL/58 ST;MTABC_Q60;['MTABC_Q60']
553407;MTA_553407;QUEENS BL/69 ST;MTABC_Q60;['MTABC_Q60']
553410;MTA_553410;QUEENS BL/65 RD;MTABC_Q60;['MTABC_Q60']
553424;MTA_553424;QUEENS BL/REEDER ST;MTABC_Q60;['MTABC_Q60']
981016;MTA_981016;E 60 ST/2 AV;MTABC_Q60;['MTABC_Q60']
503855;MTA_503855;DITMARS BL/GRAND CENTRAL PY;MTABC_Q69;['MTA NYCT_M60+', 'MTABC_Q47', 'MTA NYCT_Q48', 'MTABC_Q69']
550010;MTA_550010;DITMARS BL/36 ST;MTABC_Q69;['MTABC_Q69']
550621;MTA_550621;ASTORIA BL/80 ST;MTABC_Q69;['MTABC_Q19', 'MTABC_Q69']
550624;MTA_550624;ASTORIA BL/82 ST;MTABC_Q69;['MTABC_Q69']
550653;MTA_550653;44 DR/HUNTER ST;MTABC_Q69;['MTABC_Q39', 'MTABC_Q67', 'MTABC_Q69']
550654;MTA_550654;44 DR/23 ST;MTABC_Q69;['MTABC_Q67', 'MTABC_Q69']
550657;MTA_550657;21 ST/43 AV;MTABC_Q69;['MTABC_Q69']
550658;MTA_550658;21 ST/QUEENS PLZ S;MTABC_Q69;['MTABC_Q69']
550659;MTA_550659;21 ST/QUEENS PLZ N;MTABC_Q69;['MTABC_Q66', 'MTABC_Q69', 'MTABC_Q102']
550670;MTA_550670;21 ST/41 AV;MTABC_Q69;['MTABC_Q66', 'MTABC_Q69', 'MTABC_Q100', 'MTABC_Q102', 'MTABC_Q103']
550671;MTA_550671;21 ST/41 AV;MTABC_Q69;['MTABC_Q66', 'MTABC_Q69', 'MTABC_Q100', 'MTABC_Q103']
550672;MTA_550672;21 ST/40 AV;MTABC_Q69;['MTABC_Q69']
550673;MTA_550673;21 ST/40 AV;MTABC_Q69;['MTABC_Q69']
550676;MTA_550676;21 ST/37 AV;MTABC_Q69;['MTABC_Q66', 'MTABC_Q69']
550677;MTA_550677;21 ST/37 AV;MTABC_Q69;['MTABC_Q66', 'MTABC_Q69']
550680;MTA_550680;21 ST/35 AV;MTABC_Q69;['MTABC_Q66', 'MTABC_Q69']
550681;MTA_550681;21 ST/35 AV;MTABC_Q69;['MTABC_Q66', 'MTABC_Q69']
550682;MTA_550682;21 ST/34 AV;MTABC_Q69;['MTABC_Q69']
550683;MTA_550683;21 ST/34 AV;MTABC_Q69;['MTABC_Q69']
550685;MTA_550685;21 ST/BROADWAY;MTABC_Q69;['MTABC_Q69', 'MTABC_Q100']
550686;MTA_550686;21 ST/31 RD;MTABC_Q69;['MTABC_Q69']
550688;MTA_550688;21 ST/30 AV;MTABC_Q69;['MTABC_Q69', 'MTABC_Q100']
550689;MTA_550689;21 ST/30 AV;MTABC_Q69;['MTABC_Q69', 'MTABC_Q100']
550692;MTA_550692;21 ST/ASTORIA BL;MTABC_Q69;['MTABC_Q69', 'MTABC_Q100']
550693;MTA_550693;21 ST/ASTORIA BL;MTABC_Q69;['MTABC_Q69', 'MTABC_Q100']
550697;MTA_550697;21 ST/HOYT AV N;MTABC_Q69;['MTABC_Q69']
550706;MTA_550706;DITMARS BL/31 ST;MTABC_Q69;['MTABC_Q69']
550707;MTA_550707;DITMARS BL/31 ST;MTABC_Q69;['MTABC_Q69']
550709;MTA_550709;DITMARS BL/STEINWAY ST;MTABC_Q69;['MTABC_Q69']
550710;MTA_550710;DITMARS BL/STEINWAY ST;MTABC_Q69;['MTABC_Q69']
550712;MTA_550712;DITMARS BL/42 ST;MTABC_Q69;['MTABC_Q69']
550714;MTA_550714;DITMARS BL/45 ST;MTABC_Q69;['MTABC_Q69']
550720;MTA_550720;DITMARS BL/75 ST;MTABC_Q69;['MTABC_Q69']
550722;MTA_550722;DITMARS BL/79 ST;MTABC_Q69;['MTABC_Q69']
550724;MTA_550724;82 ST/ASTORIA BL;MTABC_Q69;['MTABC_Q47', 'MTABC_Q69']
550726;MTA_550726;DITMARS BL/78 ST;MTABC_Q69;['MTABC_Q69']
550727;MTA_550727;DITMARS BL/76 ST;MTABC_Q69;['MTABC_Q69']
550728;MTA_550728;DITMARS BL/74 ST;MTABC_Q69;['MTABC_Q69']
550739;MTA_550739;QUEENS PLZ S/22 ST;MTABC_Q69;['MTABC_Q66', 'MTABC_Q69', 'MTABC_Q102']
550742;MTA_550742;28 ST/QUEENS PLZ S;MTABC_Q69;['MTABC_Q39', 'MTABC_Q69']
552547;MTA_552547;DITMARS BL/37 ST;MTABC_Q69;['MTABC_Q69']
