id;longName;shortName
MTA NYCT_M3;Fort George - East Village;M3
MTA NYCT_M4;The Cloisters - 32 St;M4
MTA NYCT_M5;George Washington Bridge - 31 St & 6 Av;M5
MTA NYCT_M55;W 44 St  - South Ferry;M55
MTA NYCT_M57;East Side - West Side;M57
MTA NYCT_BX6+;Hunts Point - Riverside Dr;Bx6-SBS
MTA NYCT_M50;W 42 St Pier - East Side;M50
MTA NYCT_SIM4C;Huguenot - Manhattan Express;SIM4C
MTA NYCT_M66;East Side - Lincoln Center;M66
MTA NYCT_SIM4X;S.I. Mall - Lower Manhattan Express;SIM4X
MTA NYCT_B20;Ridgewood - Spring Creek;B20
MTA NYCT_Q1;Queens Village / Bellerose - Jamaica;Q1
MTA NYCT_Q20B;College Point - Jamaica;Q20B
MTA NYCT_Q20A;College Point - Jamaica;Q20A
MTA NYCT_B11;Sunset Park - Midwood;B11
MTA NYCT_B13;Spring Creek - Wyckoff Hospital;B13
MTA NYCT_B12;Lefferts Gardens - East New York;B12
MTA NYCT_B15;Bedford Stuyvesant - JFK Airport;B15
MTA NYCT_B14;Spring Creek - Crown Heights;B14
MTA NYCT_B17;Canarsie - Crown Heights;B17
MTA NYCT_M72;East Side - West Side;M72
MTA NYCT_B16;Bay Ridge - Lefferts Gardens;B16
MTA NYCT_B31;Gerritsen Beach - Kings Hwy Station;B31
MTA NYCT_S42;St. George - Clyde Place;S42
MTA NYCT_S44;St. George - Staten Island Mall;S44
MTA NYCT_S46;St. George - West Shore Plaza;S46
MTA NYCT_S48;St. George - Mariners Harbor;S48
MTA NYCT_SIM35;Port Richmond - Lower Manhattan Express;SIM35
MTA NYCT_S40;St. George - Amazon;S40
MTA NYCT_Q2;Queens Village - Jamaica;Q2
MTA NYCT_SIM31;Eltingville - Midtown Manhattan Express;SIM31
MTA NYCT_Q3;Jamaica - JFK Airport;Q3
MTA NYCT_SIM32;Travis - Lower Manhattan Express;SIM32
MTA NYCT_B24;Williamsburg - Greenpoint;B24
MTA NYCT_M34A+;Waterside - Port Authority Terminal;M34A-SBS
MTA NYCT_Q4;Cambria Heights - Jamaica;Q4
MTA NYCT_SIM33;Mariners Harbor - Manhattan Express;SIM33
MTA NYCT_Q5;Rosedale or Green Acres Mall - Jamaica;Q5
MTA NYCT_SIM34;Mariners Harbor - Lower Manhattan Express;SIM34
MTA NYCT_B26;Downtown Brooklyn - Ridgewood;B26
MTA NYCT_B25;Dwntn Bklyn & DUMBO - Broadway Junction;B25
MTA NYCT_B44+;Sheepshead Bay - Williamsburg;B44-SBS
MTA NYCT_SIM30;Sunnyside - Midtown Manhattan Express;SIM30
MTA NYCT_B42;Canarsie Pier - Rockaway Parkway Station;B42
MTA NYCT_B41;Kings Plaza - Downtown Brooklyn;B41
MTA NYCT_M79+;Yorkville - West Side;M79-SBS
MTA NYCT_B3;Bensonhurst - Bergen Beach;B3
MTA NYCT_Q12;Little Neck - Flushing;Q12
MTA NYCT_S54;West New Brighton - Eltingville;S54
MTA NYCT_B4;Bay Ridge - Sheepshead Bay;B4
MTA NYCT_S53;Port Richmond - Bay Ridge;S53
MTA NYCT_S56;Huguenot - Staten Island Mall;S56
MTA NYCT_SIM3C;Pt. Richmond - Manhattan Express;SIM3C
MTA NYCT_B6;Bath Beach - East New York;B6
MTA NYCT_Q13;Fort Totten - Flushing;Q13
MTA NYCT_S55;Rossville - Staten Island Mall;S55
MTA NYCT_B7;Midwood - Bedford-Stuyvesant;B7
MTA NYCT_Q16;Fort Totten - Flushing;Q16
MTA NYCT_B8;Dyker Heights - East Flatbush;B8
MTA NYCT_Q15;Flushing - Beechhurst;Q15
MTA NYCT_S57;Port Richmond - New Dorp;S57
MTA NYCT_B9;Bay Ridge - Kings Plaza;B9
MTA NYCT_Q17;Flushing - Jamaica;Q17
MTA NYCT_S59;Port Richmond - Tottenville;S59
MTA NYCT_M96;East Side - West Side;M96
MTA NYCT_M98;Washington Heights - Upper East Side LTD;M98
MTA NYCT_B1;Bay Ridge - Manhattan Beach;B1
MTA NYCT_S52;St. George - Staten Island Univ. Hospital;S52
MTA NYCT_B2;Kings Hwy Station - Kings Plaza;B2
MTA NYCT_S51;St. George - Grant City;S51
MTA NYCT_B32;Williamsburg - Long Island City;B32
MTA NYCT_M90;M Shuttle Bus - Metropolitan Av - Myrtle Av;M90
MTA NYCT_B35;Brownsville - Sunset Park;B35
MTA NYCT_B37;Downtown Brooklyn - Bay Ridge;B37
MTA NYCT_B36;Sheepshead Bay - Coney Island;B36
MTA NYCT_B39;Williamsburg Bridge Plaza - Lower East Side;B39
MTA NYCT_B38;Ridgewood - Downtown Brooklyn;B38
